date,0
2011-04-27,1
2011-04-28,2
2011-04-29,2
2011-04-30,1
2011-05-01,1
2011-05-02,6
2011-05-03,3
2011-05-05,3
2011-05-06,2
2011-05-07,2
2011-05-09,3
2011-05-11,2
2011-05-12,1
2011-05-13,3
2011-05-15,1
2011-05-16,1
2011-05-17,1
2011-05-18,2
2011-05-19,1
2011-05-20,1
2011-05-23,3
2011-05-24,4
2011-05-25,9
2011-05-26,1
2011-05-27,1
2011-05-29,1
2011-05-30,1
2011-05-31,4
2011-06-01,3
2011-06-02,1
2011-06-03,1
2011-06-06,6
2011-06-07,5
2011-06-08,7
2011-06-09,7
2011-06-10,5
2011-06-12,1
2011-06-13,2
2011-06-14,3
2011-06-15,3
2011-06-16,2
2011-06-17,6
2011-06-20,5
2011-06-21,2
2011-06-22,2
2011-06-23,4
2011-06-24,2
2011-06-27,3
2011-06-28,5
2011-06-29,5
2011-06-30,3
2011-07-01,6
2011-07-03,1
2011-07-05,4
2011-07-06,6
2011-07-07,2
2011-07-08,2
2011-07-09,2
2011-07-11,4
2011-07-12,4
2011-07-13,3
2011-07-14,4
2011-07-15,3
2011-07-18,4
2011-07-19,6
2011-07-20,5
2011-07-21,1
2011-07-22,9
2011-07-23,1
2011-07-25,9
2011-07-26,4
2011-07-27,11
2011-07-28,8
2011-07-29,2
2011-07-31,1
2011-08-01,4
2011-08-02,6
2011-08-03,12
2011-08-04,5
2011-08-05,5
2011-08-08,8
2011-08-09,6
2011-08-10,5
2011-08-11,16
2011-08-12,2
2011-08-13,1
2011-08-15,3
2011-08-16,1
2011-08-17,1
2011-08-18,3
2011-08-19,4
2011-08-20,1
2011-08-22,7
2011-08-23,4
2011-08-24,4
2011-08-25,4
2011-08-26,7
2011-08-29,2
2011-08-30,2
2011-08-31,2
2011-09-01,2
2011-09-06,4
2011-09-07,3
2011-09-08,4
2011-09-09,3
2011-09-11,1
2011-09-12,7
2011-09-13,8
2011-09-14,5
2011-09-15,2
2011-09-16,3
2011-09-19,1
2011-09-20,4
2011-09-21,1
2011-09-22,1
2011-09-23,5
2011-09-26,3
2011-09-27,2
2011-09-28,2
2011-09-29,3
2011-10-03,5
2011-10-04,4
2011-10-05,2
2011-10-06,6
2011-10-07,2
2011-10-10,1
2011-10-11,5
2011-10-12,7
2011-10-13,2
2011-10-14,3
2011-10-17,1
2011-10-18,2
2011-10-19,4
2011-10-20,7
2011-10-24,2
2011-10-26,7
2011-10-28,1
2011-11-01,2
2011-11-02,1
2011-11-03,1
2011-11-05,1
2011-11-07,3
2011-11-09,3
2011-11-10,1
2011-11-11,1
2011-11-13,1
2011-11-14,4
2011-11-15,1
2011-11-16,9
2011-11-17,1
2011-11-20,1
2011-11-21,8
2011-11-22,2
2011-11-23,2
2011-11-25,3
2011-11-28,5
2011-11-29,1
2011-11-30,5
2011-12-01,3
2011-12-02,2
2011-12-04,1
2011-12-06,3
2011-12-08,4
2011-12-10,6
2011-12-12,6
